GET,DDAS,Start Time,End Time,Duration,Run Type,LN2 fill?,H5 on TPC GPU,Field Cage Functional?,SCA Lower Limit,degrader angle,good data?,final beam settings?,source type,source location,Comments,
,53,,,,,,,,,,,,,,,
,52,,,,,,,,,,,,,,,
,51,,,,,,,,,,,,,,,
,50,,,,,,,,,,,,,,,
,49,,,,,,,,,,,,,,,
,48,,,,,,,,,,,,,,,
,47,,,,,,,,,,,,,,,
,46,,,,,,,,,,,,,,,
,45,,,,,,,,,,,,,,,
,44,,,,,,,,,,,,,,,
,43,,,,,,,,,,,,,,,
,42,,,,,,,,,,,,,,,
,41,,,,,,,,,,,,,,,
,40,,,,,,,,,,,,,,,
,39,,,,,,,,,,,,,,,
,38,,,,,,,,,,,,,,DAQ test RSL,
,37,,,,,,,,,,,,,,unable to convert to root file,
,36,,,,,,,,,,,,,,,
,35,,,,,,,,,,,,,,,
,34,,,,,,,,,,,,,,,
,33,,,,,,,,,,,,,,,
,32,,,,,,,,,,,,,,,
,31,,,,,,,,,,,,,,,
,30,,,,,,,,,,,,,,,
,29,,,,,,,,,,,,,,,
,28,,,,,,,,,,,,,,,
,27,,,,,,,,,,,,,,,
,26,,,,,,,,,,,,,,,
,25,,,,,,,,,,,,,,,
,24,,,,,,,,,,,,,,,
,23,,,,,,,,,,,,,,,
,22,,,,,,,,,,,,,,,
,21,,,,,,,,,,,,,,,
,20,,,,,,,,,,,,,,,
,19,,,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,
,16,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,,
,13,,,,,,,,,,,,,,,
,12,,,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,DAQ test RSL,
,4,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,60Co on the surface center of GADGET facong DEGA-test 1 S-ID-0,
,2,,,,,,,,,,,,,,0Co on the surface center of GADGET facong DEGA-test 1 S-ID-0 Readout,
,1,,,,,,,,,,,,,,60Co on the surface center of GADGET facong DEGA,
,0,,,,,,,,,,,,,,DAQ test RSL,
