GET,DDAS,Start Time,End Time,Duration,Run Type,LN2 fill?,H5 on TPC GPU,Field Cage Functional?,SCA Lower Limit,degrader angle,good data?,final beam settings?,source type,source location,Comments,
235,218,11/16/2025 21:44,11/16/2025 21:45,0:01:28,60Ga,,,,,,,yes,,,"Production run; GET run 235; Gate delay changed from 5.5 us to 4.5 us. Actually,",
234,217,11/16/2025 20:38,11/16/2025 21:43,1:05:23,60Ga,,removed?,,,,,yes,,,Production run; GET run 234,
233,216,11/16/2025 20:09,11/16/2025 20:37,0:28:42,60Ga,,,,,,,yes,,,"Title: LN2 fill, GET run 233",
232,215,11/16/2025 19:51,11/16/2025 20:09,0:17:03,60Ga,,,,,,,yes,,,Production run: Get run 232,
231,214,11/16/2025 18:50,11/16/2025 19:51,1:00:42,60Ga,,,,,,,yes,,,Production run: Get run 231 Get run 230 was a short test; no corresponding,
229,213,11/16/2025 18:22,11/16/2025 18:47,0:25:19,60Ga,,removed?,,,,,yes,,,Production run: Get run 229,
228,212,11/16/2025 17:21,11/16/2025 18:22,1:00:48,60Ga,,,,,,,yes,,,Production run: Get run 228,
227,,,,,,,corrupted?,,,,,yes,,,possibly corrupted? Not sure what this run's deal is,
226,211,11/16/2025 16:24,11/16/2025 16:52,0:28:42,60Ga,,,,,,,yes,,,"Production run: Get run 226 ~20 minutes in, the Trig rate drops to 0,",
225,210,11/16/2025 15:23,11/16/2025 16:23,1:00:11,60Ga,,,,,,,yes,,,Production run: Get run 225,
,209,11/16/2025 15:07,11/16/2025 15:23,0:16:17,60Ga,,no GRAW files,,,,,yes,,,Production run: Get run 221,
220,208,11/16/2025 14:47,11/16/2025 15:06,0:19:04,60Ga,,,,,,,yes,,,Production run: Get run 220,
PID,207,11/16/2025 14:15,11/16/2025 14:23,0:07:34,60Ga PID,,,,,,,yes,,,"PID run, continuous beam, x40 attenuation",
219,206,11/16/2025 12:46,11/16/2025 13:59,1:13:33,60Ga,,,,,,,yes,,,Production Run; GET run 219; front end veto disabled,
?,205,11/16/2025 12:41,11/16/2025 12:45,0:04:18,60Ga,,,,,,,yes,,,Production Run; GET diagnosing daq issues; front end veto disabled,
215,204,11/16/2025 12:15,11/16/2025 12:29,0:13:59,60Ga,,not transfered,,,,,yes,,,Production Run; GET Run 215; front end veto disabled,
214,203,11/16/2025 11:14,11/16/2025 12:15,1:00:34,60Ga,,not transfered,,,,,yes,,,Production Run; GET Run 214; front end veto disabled,
213,202,11/16/2025 10:14,11/16/2025 11:14,1:00:17,60Ga,,,,,,,yes,,,Production Run; GET Run 213; front end veto disabled,
212,201,11/16/2025 9:13,11/16/2025 10:14,1:00:15,60Ga,,,,,,,yes,,,Production Run; GET Run 212; front end veto disabled,
211,200,11/16/2025 8:13,11/16/2025 9:13,1:00:14,60Ga,,,,,,,yes,,,Production Run; GET Run 211; front end veto disabled. LN2 fill started around,
210,199,11/16/2025 7:13,11/16/2025 8:13,0:59:59,60Ga,,,,,,,yes,,,Production Run; GET Run 210; front end veto disabled,
209,198,11/16/2025 6:07,11/16/2025 7:13,1:05:30,60Ga,,,,,,,yes,,,Production Run; GET Run 209; front end veto disabled,
208,197,11/16/2025 5:06,11/16/2025 6:07,1:00:56,60Ga,,,,,,,yes,,,Production Run; GET Run 208; front end veto disabled,
207,196,11/16/2025 4:07,11/16/2025 5:06,0:59:12,60Ga,,,,,,,yes,,,Production Run; GET Run 207; front end veto disabled,
206,195,11/16/2025 3:06,11/16/2025 4:07,1:00:18,60Ga,,,,,,,yes,,,Production Run; GET Run 206; front end veto disabled,
205,194,11/16/2025 2:06,11/16/2025 3:06,0:59:52,60Ga,,,,,,,yes,,,"LN2 Run; GET Run 205; front end veto disabled. LN2 fill at approx 9min in ID 1,2,3,5,6",
204,193,11/16/2025 1:08,11/16/2025 2:06,0:58:18,60Ga,,,,,,,yes,,,Production Run; GET Run 204; front end veto disabled,
203,192,11/16/2025 0:08,11/16/2025 1:07,0:59:23,60Ga,,,,,,,yes,,,Production Run; GET Run 203; front end veto disabled,
202,191,11/15/2025 23:08,11/16/2025 0:08,0:59:53,60Ga,,,,,,,yes,,,Production Run; GET Run 202; front end veto disabled,
201,190,11/15/2025 22:05,11/15/2025 23:08,1:02:49,60Ga,,,,,,,yes,,,Production Run; GET Run 201; front end veto disabled,
200,189,11/15/2025 21:03,11/15/2025 22:04,1:01:48,60Ga,,,,,,,yes,,,Production Run; GET Run 200; front end veto disabled,
199,188,11/15/2025 20:10,11/15/2025 21:03,0:52:08,60Ga,yes,,,,,,yes,,,"Production Run; GET Run 199; front end veto disabled, LN2 fill",
198,187,11/15/2025 19:18,11/15/2025 20:10,0:51:42,60Ga,,,,,,,yes,,,Production Run; GET Run 198; front end veto disabled,
197,186,11/15/2025 18:17,11/15/2025 19:18,1:01:34,60Ga,,,,,,,yes,,,Production Run; GET Run 197; front end veto disabled,
196,185,11/15/2025 17:11,11/15/2025 18:16,1:05:15,60Ga,,,,,,,yes,,,Production Run; GET Run 196; front end veto disabled,
195,184,11/15/2025 16:51,11/15/2025 17:07,0:15:49,60Ga,,,,,,,yes,,,Production Run; GET Run 195; front end veto disabled,
194,183,11/15/2025 16:37,11/15/2025 16:51,0:14:03,60Ga,,,,,,,yes,,,Production Run; GET Run 194; front end veto disabled,
193,182,11/15/2025 15:58,11/15/2025 16:27,0:28:45,60Ga,,,,,,,yes,,,Production Run; GET Run 193; Stopped the run. Disabling front-end veto due to the veto pad noises. We are not sure at the moment if it is affecting the data quality,
192,181,11/15/2025 14:58,11/15/2025 15:58,0:59:50,60Ga,,,,,,,yes,,,Production Run; GET Run 192,
191,180,11/15/2025 14:51,11/15/2025 14:56,0:04:56,60Ga,,,,,,,yes,,,Production Run; GET Run 191 Run ended when Fragment Catcher Slits malfunctioned; lost beam.,
PID,179,11/15/2025 14:23,11/15/2025 14:31,0:07:46,60Ga PID,,,,,,,yes,,,"PID run, 40x attenuation, beam cycling",
PID,178,11/15/2025 14:13,11/15/2025 14:23,0:10:08,60Ga PID,,,,,,,yes,,,"PID run, 40x attenuation, beam cycling",
PID,177,11/15/2025 14:09,11/15/2025 14:12,0:03:06,60Ga PID,,,,,,,yes,,,"PID run (38 degree degrader), Get Run Beam attenuated by 20x, beam is being cycled.",
PID,176,11/15/2025 14:05,11/15/2025 14:09,0:04:24,60Ga PID,,,,,,,yes,,,"PID run (38 degree degrader), Get Run",
PID,175,11/15/2025 13:56,11/15/2025 14:05,0:08:58,60Ga PID,,,,,,,yes,,,"PID run (38 degree degrader), Get Run",
,174,11/15/2025 13:33,11/15/2025 13:34,0:01:12,60Ga,,,,,,,,,,"Run 174 was for verifying beam is attenuated. There is no corresponding get run. Production run (38 degree degrader), Get Run 188",
188?,173,11/15/2025 13:30,11/15/2025 13:32,0:01:51,60Ga,,,,,,,yes,,,"Production run (38 degree degrader), Get Run 188; Get run 189 is junk.",
188?,172,11/15/2025 13:10,11/15/2025 13:24,0:14:10,60Ga,,,,,,,yes,,,"Production run (38 degree degrader), Get Run 188",
