fit_window,peak energy,from decay of,known peak energy (keV),known peak energy uncertainty(keV),use for calibration?,notes
2800-4400,3374,,,,,
,3470,,,,,
,3529,,,,,
,3662,,,,,
,3777,,,,,
,3810,,,,,
,3890,,,,,
,4000,,,,,
,4125,,,,,
5400-7000,5886,,,,,
,6150,,6288.08,0.1,no,
,6253,,,,,
,6587,,6778.3,0.5,yes,
8000-8900,8520,," 8784.86",0.12,yes,
