fit_index,loc_guess,p_value,mu_val,mu_err,amplitude_val,amplitude_err,bg_const_val,bg_const_err,bg_slope_val,bg_slope_err,frac1_val,frac1_err
0,511,0.0,511.0252676269678,0.011163935261663482,35240.87603881506,220.34476399526102,5243.395394993399,447.5360614543438,-9.59212293220196,0.8750196766266877,7.794717020274955e-14,0.0003558314894306601
1,1028,0.5646957667811761,1028.6934319818538,0.3906756903169253,116.24894041324355,33.78349617925902,-63.12363342809835,363.8818359821348,0.10426224556729352,0.35516504667177085,0.12865582148082155,0.9152350062621664
2,1188,0.5623743446383467,1188.83027931637,0.13041318271939417,368.66877130502235,35.51850288116634,-5.762898078198848,184.7703893637347,0.038689857920268425,0.15475042735314426,0.3742053792482878,0.3286940716798622
2,1202,0.5623743446383467,1203.3173780086072,0.2979734291627665,163.77834135533084,29.737254675291396,-5.762898078198848,184.7703893637347,0.038689857920268425,0.15475042735314426,0.3742053792482878,0.3286940716798622
3,1341,0.719423636911483,1341.434666485893,0.3257854947081569,93.1703699079569,23.11004698206513,81.55815917875147,344.1068479021811,-0.034171647465781614,0.25692803653638563,0.9999999268339562,0.5447304024689333
4,1413,0.7808205734149081,1414.169364233166,0.2583878095449563,148.4774734926036,29.256158255393686,213.6916388744336,305.88397504254175,-0.12993066599819766,0.2168204023383939,0.48766044791418356,0.7438301747428064
5,1482,0.9913774483542348,1482.6757689269284,0.19619359328635255,165.88980970086212,28.890816790899493,43.66505524079311,286.12650088785665,-0.014466638355277242,0.19339216142339066,0.8621174318954045,0.9148161056368491
6,1554,0.07403316027601398,1555.5111535288586,0.04002282410863245,1595.4822427715078,49.0365459416671,-200.6364995670104,320.5205384281019,0.14480666341820256,0.20686936741683826,0.5885547969068107,0.10565404864368355
7,2007,0.6864382463190024,2007.689569051224,0.41875424770933023,61.28343423599883,17.09503591213809,-239.912704343928,301.85989580057753,0.1323641439288887,0.15082503013719722,0.9999999999940143,0.8337013903161191
8,2293,0.7838793448761023,2293.881462805458,0.11271875354054828,438.377575984878,29.708386806860034,-63.999777488382904,255.4765212465745,0.03556274783080689,0.11156010147087661,0.3861531874176266,0.2100402835695821
9,2334,0.31210207803897266,2335.2635510073337,0.47369495884481694,34.50496729266996,16.30852515722035,-110.28127407926354,274.3860110650353,0.05494251593413732,0.11780032878286462,0.9999999999990646,0.6863523343781849
10,2390,0.6102947835431412,2391.8169364101104,0.3773750856908009,102.0760501717968,23.25318495845586,27.400081342994792,278.6746678500173,-0.00422498006671307,0.11675676464181282,0.3369900860309381,0.6596246365729601
11,2435,0.965925875644285,2434.4119410733756,0.161222010012807,259.64283430839487,25.543736635744082,107.6125116740094,259.0901899146259,-0.03722342093193022,0.10650923210331771,0.41234995304993904,0.29174438593115554
12,2484,0.5520578466388688,2485.789078946594,0.4757457992222953,51.772766935446846,16.904565807757777,-45.26558573456528,129.43047821570454,0.02459292532864564,0.051913671432873475,0.5407507913983877,0.7478631496470713
12,2507,0.5520578466388688,2507.396138976602,0.3377639040552367,115.25991490804772,24.03454277464423,-45.26558573456528,129.43047821570454,0.02459292532864564,0.051913671432873475,0.5407507913983877,0.7478631496470713
13,2826,0.9078434331710435,2826.656900088635,0.05405513322830302,1425.822862997308,44.60104366877215,-133.18431306509305,319.3369505671343,0.054212009480705085,0.11339510227850796,0.6325901300300929,0.08855445662417105
14,2996,0.4415536746239607,2997.688297939709,0.29570023784935984,207.88123879351684,27.924807337796395,-83.67500757185907,304.12902934852576,0.036858630356985285,0.10173495813960938,0.34561447857117006,0.3824589351423139
15,3337,0.4730639276768078,3337.931357562695,0.06149638466149554,1574.9059947442267,47.0205393050112,3.1672114780461285,297.0350374584691,0.006742156820941151,0.08917003055257297,0.3969639790152581,0.07931886347288564
16,3378,0.8581604062816376,3379.6211751821347,0.5264430276401981,107.75858336266063,22.64950138998502,305.5041755196077,344.5076860760274,-0.08179952626422944,0.1021732478338233,1.3960253589657664e-08,0.8405762992713972
17,3588,0.4094602109847637,3588.2764954707204,0.4271663938038728,83.99751527847022,19.403150097962765,555.4342258217606,326.8073046179251,-0.14453005496498086,0.09118037812825143,0.999999847819193,0.8315314204869104
18,3848,0.6074234437380597,3848.7810205719716,0.030414438811703803,3732.2194193845835,64.2461577028464,517.7825971327158,164.26565098310178,-0.13327753179144047,0.0426827066494915,0.8247033536835432,0.0338864615207744
19,3888,0.7197903050071736,3889.7336231331387,0.18954476200633508,164.3419653098144,16.73910905448679,215.94208607363143,144.69034548569397,-0.05482541129837336,0.03721208082727732,0.9342086527335899,0.746097798824289
20,4177,0.2690219924593613,4178.354480701316,0.6018137742589715,46.44384696520965,11.280373349467379,2.873650523193575,65.3624192406248,-0.00022841932877909547,0.015588849729153238,0.25719127826917426,0.6282077537664927
20,4208,0.2690219924593613,4209.509115053104,0.6376561266215504,33.05470060134026,10.758988161395434,2.873650523193575,65.3624192406248,-0.00022841932877909547,0.015588849729153238,0.25719127826917426,0.6282077537664927
21,4719,0.7669305858340154,4719.822778597894,0.7269280345435618,35.77930768536545,10.452057970459178,6.435145753253473,121.6378971029093,-0.0012054770694327366,0.025784392023037717,0.5369479231157988,0.7657155571757968
22,4806,0.7336557265951063,4806.461644071594,0.5076657469185193,57.293034173208454,11.502226393921987,-51.948289210597714,89.56947707751168,0.01090996792920412,0.018633903209066535,0.462174019695839,0.7279399093573055
