fit_window,peak energy,from decay of,known peak energy (keV),known peak energy uncertainty(keV),use for calibration?,notes,gate,bg_gate,coincidence_hist,coincidences,,,,
,1004,60Ga,1003.7,0.2,yes,"69.47±0.46 ms halflife. ",,,"h1003 = degai.get_bg_subtracted_projection(coincidence_hist, 1003, 3, 1010,1)","511, 1028, 1188, 1202,  1340, 1413, 1441, 1481, 1554, 2007, 2293, 2390, 2433, 2507, 2825, 2996, 3335, 3781?, 3847, 3888, 4179, 4208, 4293, 4719, 4804",,,,
1010-1025,1015,27*Al?,,,,only present when beam is on,,,,,,,,
,1021,?,,,,"summing of 511s? If so, should be present in accidental coincidence spectrum from offset timing",,,,,,,,
1023-1031,1028,60Ga? or 60Cu?,,,,2021Or01 claims 60Ga peak at 1028.6±2. 1972Va19 says peak at 1027±? from 60Cu and didnt place in level scheme. Apparent coincidence with 2825 appears to be from a diagonal line in coincidence spectrum.,,,"h1028 = degai.get_bg_subtracted_projection(coincidence_hist, (1027, 1029), (1038,1042))","511,1004,2007",,,,
1030-1101,1035,60Cu,,,"no, low p value",1972Va19,,,,,,,,
,1039,?,,,,only present when beam on,,,,,,,,
,1044,?,,,,,,,,,,,,
,1052,?,,,,,,,,,,,,
,1064,207mPb,,,,,,,,,,,,
,1070,?,,,,,,,,,,,,
,1079,?,,,,,,,,,,,,
,1085,?,,,,,,,,,,,,
,1090,?,,,,single bin?,,,,,,,,
,1097,116In?,,,,,,,,,,,,
1101-1126,1110,60Cu,,,"no, low p value",1972Va19,,,,,,,,
,1120,214Bi?,,,,,,,,,,,,
1126-1145,1130,?,,,,only present when beam on,,,,,,,,
1150-1162,1155,214Bi?,,,,,,,,,,,,
1162-1169,1165,?,,,,,,,,,,,,
1169-1178,1173,60Co? or 60Cu?,,,,60Co is room background. Peak identified in 1972Va19 as 60Cu,,,,,,,,
1178-1197,1181,?,,,,,,,,,,,,
,1188,60Ga,,,2021Or04,"60Ga ID from 2021Or01, 59Cu from 1973Va03+1977Se02. Shows up in 1003 keV coincidence. half life betweeen 39.7 ms and 174.5 ms. This is consistent with 60Ga, but not 59Cu.I originally thought that the there was a coincidence w/ 546 keV gamma, but this appears to be an artifact from background subtraction.",,,"h1189 = degai.get_bg_subtracted_projection(coincidence_hist, 1189, 1, 1196,2)","189?, 511, 1003, 1202?, 3588",,,,
1197-1212,1202,60Ga,,,,"seen in 2021Or01, seen in 1003 coincidence spec. Cut on peak also may include peaks just above this. Apparent coincidence in 1D spectrum fit is due to compton scatter coincidence crossing.",1200-1204,1210-1213,,"511, 1004, 1188",,,,
,1207,?,,,,"multiple peaks, overlapping with 1202 peak",,,,,,,,
1212-1233,1223,?,,,,jump in background?,,,,,,,,
